0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:40 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9400
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:56 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:26:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:01 +0530] "GET /project_4/ctl/TimeTableCtl?id=1 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:03 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:03 +0530] "GET /jsp/TimeTableView.jsp HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:10 +0530] "GET /project_4/ctl/UserListCtl HTTP/1.1" 200 10966
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:21 +0530] "GET /project_4/ctl/UserCtl?id=2 HTTP/1.1" 200 8532
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:23 +0530] "POST /project_4/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:23 +0530] "GET /project_4/ctl/UserListCtl HTTP/1.1" 200 10966
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:27:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:32:28 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:32:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:32:35 +0530] "GET /project_4/ctl/TimeTableCtl?id=6 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:32:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:32:37 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:32:37 +0530] "GET /jsp/TimeTableView.jsp HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:09 +0530] "GET /project_4/ctl/TimeTableCtl?id=6 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:09 +0530] "GET /project_4/ctl/TimeTableCtl?id=6 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:09 +0530] "GET /project_4/ctl/TimeTableCtl?id=6 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:10 +0530] "GET /project_4/ctl/TimeTableCtl?id=6 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:14 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:14 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:23 +0530] "GET /project_4/ctl/TimeTableCtl?id=4 HTTP/1.1" 200 9377
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:24 +0530] "POST /project_4/ctl/TimeTableCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:24 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:29 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 12756
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:33 +0530] "GET /project_4/ctl/FacultyCtl?id=5 HTTP/1.1" 200 10260
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:36 +0530] "POST /project_4/ctl/FacultyCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:36 +0530] "GET /project_4/ctl/FacultyListCtl HTTP/1.1" 200 12756
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:34:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:38:58 +0530] "POST /project_4/ctl/TimeTableListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:38:58 +0530] "GET /project_4/ctl/TimeTableCtl HTTP/1.1" 200 9282
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:38:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:39:01 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:23 +0530] "GET /project_4/ctl/TimeTableListCtl HTTP/1.1" 200 12081
0:0:0:0:0:0:0:1 - - [06/Oct/2020:12:42:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
